package,version,riskLevel,riskScore,toolCount,hasPostInstall,typosquatRisk,scannedAt
@codefuturist/email-mcp,0.2.1,MEDIUM,35,0,false,false,2026-04-26T03:41:07.635Z
@codemem/mcp,0.22.4,CLEAN,0,0,false,false,2026-04-26T03:41:08.787Z
@codesherlock/codesherlock-mcp-server,0.1.7,HIGH,50,0,false,false,2026-04-26T03:41:10.044Z
@cogniguard/mcp-server,0.2.0,CLEAN,0,0,false,false,2026-04-26T03:41:11.095Z
@cognistore/mcp-server,1.1.0,HIGH,40,0,false,false,2026-04-26T03:41:12.121Z
@coinbase/cds-mcp-server,8.66.0,LOW,10,0,false,false,2026-04-26T03:41:13.036Z
@coingecko/coingecko-mcp,4.0.0,HIGH,60,2,false,false,2026-04-26T03:41:14.076Z
@commercetools/nimbus-mcp,2.10.0,CLEAN,0,0,false,false,2026-04-26T03:41:15.193Z
@conarti/mattermost-mcp,1.1.2,CLEAN,0,18,false,false,2026-04-26T03:41:16.124Z
@conduitai-app/mcp-server,0.4.1,LOW,10,0,false,false,2026-04-26T03:41:17.077Z
@configcat/mcp-server,0.1.6,CRITICAL,100,156,false,false,2026-04-26T03:41:18.016Z
@confluentinc/mcp-confluent,1.0.1,CLEAN,0,0,false,false,2026-04-26T03:41:19.193Z
@connorbritain/mssql-mcp-server,0.5.2,CLEAN,0,0,false,false,2026-04-26T03:41:20.158Z
@contentful/mcp-server,1.7.15,MEDIUM,30,0,false,false,2026-04-26T03:41:21.100Z
@context-forge/mcp,0.7.0,CLEAN,0,0,false,false,2026-04-26T03:41:22.233Z
@contextatlas/core,1.0.63,MEDIUM,15,0,true,false,2026-04-26T03:41:23.392Z
@contextcapsule/mcp-server,0.1.2,CLEAN,0,0,false,false,2026-04-26T03:41:24.489Z
@contextium/mcp-server,1.2.2,CLEAN,0,0,false,false,2026-04-26T03:41:25.511Z
@contextlint/mcp-server,0.9.1,CLEAN,0,0,false,false,2026-04-26T03:41:26.452Z
@contextplanner/mcp-server,0.1.2,CLEAN,0,0,false,false,2026-04-26T03:41:27.426Z
@contextstream/mcp-server,0.4.74,CRITICAL,75,44,true,false,2026-04-26T03:41:28.603Z
